Questions,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.564,0.088,0.697,0.125,0.015,0.014,0.049,0.012,0.822,0.09,0.732,0.912,0.901,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.598,0.073,0.812,0.066,0.007,0.009,0.023,0.01,0.878,0.049,0.83,0.927,0.947,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.631,0.063,0.884,0.023,0.002,0.006,0.011,0.012,0.907,0.031,0.876,0.937,0.967,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.665,0.062,0.894,0.011,0.001,0.006,0.01,0.015,0.905,0.032,0.873,0.938,0.965,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.699,0.064,0.885,0.015,0.001,0.006,0.013,0.016,0.899,0.037,0.862,0.936,0.961,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.732,0.061,0.884,0.018,0.002,0.005,0.016,0.014,0.902,0.037,0.865,0.939,0.961,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.766,0.052,0.898,0.017,0.002,0.005,0.017,0.009,0.915,0.033,0.881,0.948,0.965,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.800,0.045,0.906,0.015,0.002,0.006,0.021,0.005,0.921,0.034,0.887,0.955,0.964,Alegria
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.833,0.047,0.882,0.022,0.004,0.009,0.03,0.006,0.904,0.049,0.855,0.953,0.949,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.867,0.061,0.83,0.036,0.007,0.014,0.043,0.008,0.866,0.073,0.793,0.939,0.922,Extasis
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.900,0.068,0.811,0.042,0.009,0.015,0.046,0.009,0.854,0.078,0.776,0.932,0.916,Deleite
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.934,0.062,0.837,0.04,0.008,0.011,0.036,0.007,0.877,0.061,0.816,0.938,0.935,Confianza
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.112,00:00:07.968,0.072,0.795,0.067,0.011,0.01,0.039,0.006,0.862,0.066,0.796,0.928,0.929,Gozo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.001,0.112,0.663,0.128,0.021,0.015,0.054,0.008,0.791,0.097,0.694,0.888,0.891,Admiracion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.035,0.147,0.574,0.179,0.025,0.015,0.052,0.008,0.752,0.101,0.651,0.853,0.881,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.069,0.158,0.535,0.231,0.023,0.012,0.036,0.006,0.765,0.077,0.688,0.842,0.909,Jubilo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.102,0.156,0.465,0.32,0.023,0.009,0.025,0.003,0.784,0.059,0.725,0.844,0.93,Admiracion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.136,0.144,0.422,0.386,0.022,0.007,0.017,0.002,0.808,0.048,0.761,0.856,0.944,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.169,0.13,0.433,0.395,0.022,0.005,0.014,0.002,0.828,0.042,0.786,0.87,0.951,Aturdimiento
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.203,0.125,0.383,0.417,0.04,0.007,0.026,0.002,0.8,0.075,0.725,0.875,0.914,Embobamiento
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.237,0.13,0.252,0.475,0.077,0.011,0.051,0.003,0.727,0.142,0.585,0.87,0.836,Perplejidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.270,0.158,0.129,0.526,0.107,0.012,0.064,0.004,0.655,0.187,0.468,0.842,0.778,Perplejidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.304,0.231,0.059,0.535,0.11,0.009,0.05,0.006,0.594,0.176,0.418,0.769,0.772,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.337,0.344,0.034,0.478,0.095,0.004,0.031,0.013,0.512,0.143,0.369,0.656,0.782,Curiosidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.371,0.463,0.037,0.369,0.078,0.003,0.025,0.025,0.406,0.131,0.275,0.537,0.756,Aturdimiento
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.405,0.532,0.041,0.282,0.07,0.003,0.031,0.041,0.323,0.145,0.178,0.468,0.69,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.438,0.521,0.036,0.274,0.075,0.004,0.039,0.05,0.31,0.169,0.141,0.479,0.647,Perplejidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.472,0.487,0.028,0.306,0.079,0.006,0.046,0.048,0.334,0.178,0.156,0.513,0.652,Perplejidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.506,0.489,0.023,0.328,0.071,0.007,0.045,0.038,0.352,0.16,0.192,0.511,0.688,Incredulidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.539,0.476,0.023,0.373,0.063,0.006,0.034,0.026,0.396,0.128,0.267,0.524,0.755,Incredulidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.573,0.406,0.026,0.461,0.063,0.004,0.023,0.018,0.487,0.107,0.38,0.594,0.82,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.606,0.357,0.028,0.519,0.059,0.004,0.02,0.013,0.547,0.096,0.451,0.643,0.851,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.640,0.417,0.03,0.46,0.05,0.004,0.025,0.014,0.49,0.093,0.397,0.583,0.84,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.674,0.545,0.035,0.323,0.04,0.006,0.032,0.019,0.358,0.097,0.261,0.455,0.787,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.707,0.644,0.037,0.223,0.033,0.006,0.035,0.022,0.26,0.096,0.165,0.356,0.731,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.741,0.692,0.031,0.184,0.027,0.006,0.038,0.022,0.215,0.093,0.122,0.308,0.699,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.774,0.731,0.02,0.149,0.021,0.006,0.048,0.025,0.17,0.1,0.07,0.269,0.63,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.808,0.786,0.014,0.099,0.014,0.006,0.049,0.032,0.113,0.101,0.012,0.214,0.529,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.842,0.843,0.014,0.058,0.008,0.005,0.035,0.037,0.072,0.085,-0.013,0.157,0.459,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.875,0.875,0.014,0.037,0.005,0.004,0.023,0.041,0.052,0.074,-0.022,0.125,0.411,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.909,0.886,0.015,0.025,0.004,0.004,0.021,0.044,0.041,0.073,-0.032,0.114,0.359,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.943,0.89,0.024,0.016,0.003,0.004,0.02,0.043,0.04,0.07,-0.031,0.11,0.361,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.14,0.128,00:00:08.976,0.879,0.032,0.01,0.003,0.004,0.023,0.048,0.043,0.078,-0.036,0.121,0.353,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.019,0.897,0.036,0.004,0,0.004,0.007,0.052,0.04,0.062,-0.022,0.103,0.393,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.052,0.906,0.029,0.005,0.001,0.003,0.006,0.05,0.034,0.06,-0.026,0.094,0.362,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.086,0.913,0.021,0.007,0.001,0.003,0.005,0.05,0.028,0.059,-0.031,0.087,0.319,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.119,0.915,0.016,0.011,0.002,0.003,0.004,0.049,0.026,0.058,-0.032,0.085,0.312,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.153,0.92,0.012,0.013,0.003,0.003,0.003,0.045,0.026,0.054,-0.028,0.08,0.323,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.187,0.93,0.009,0.014,0.003,0.003,0.002,0.038,0.022,0.047,-0.025,0.07,0.322,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.220,0.939,0.007,0.013,0.003,0.003,0.002,0.033,0.02,0.041,-0.021,0.061,0.331,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.254,0.941,0.011,0.013,0.003,0.003,0.001,0.029,0.023,0.036,-0.013,0.059,0.393,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.287,0.934,0.017,0.017,0.004,0.003,0.001,0.025,0.034,0.032,0.002,0.066,0.513,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.321,0.917,0.019,0.033,0.006,0.003,0.001,0.02,0.053,0.031,0.022,0.083,0.631,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.355,0.893,0.016,0.058,0.01,0.003,0.002,0.018,0.074,0.033,0.04,0.107,0.688,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.388,0.877,0.01,0.075,0.014,0.003,0.002,0.019,0.085,0.038,0.047,0.123,0.69,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.422,0.876,0.007,0.076,0.015,0.003,0.002,0.022,0.083,0.041,0.041,0.124,0.666,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.456,0.879,0.006,0.073,0.015,0.003,0.002,0.023,0.079,0.043,0.036,0.121,0.649,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.489,0.876,0.005,0.074,0.015,0.003,0.002,0.025,0.079,0.045,0.035,0.124,0.639,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.523,0.875,0.005,0.07,0.016,0.003,0.003,0.029,0.074,0.05,0.024,0.125,0.596,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.556,0.871,0.004,0.059,0.016,0.003,0.006,0.041,0.063,0.066,-0.003,0.129,0.489,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.590,0.853,0.003,0.049,0.017,0.003,0.012,0.063,0.052,0.096,-0.044,0.147,0.35,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.624,0.839,0.003,0.036,0.017,0.004,0.016,0.086,0.039,0.123,-0.084,0.161,0.24,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.657,0.844,0.002,0.027,0.014,0.004,0.014,0.094,0.029,0.126,-0.097,0.156,0.188,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.691,0.853,0.002,0.031,0.014,0.003,0.012,0.086,0.032,0.114,-0.082,0.147,0.221,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.724,0.85,0.002,0.041,0.016,0.003,0.012,0.076,0.043,0.107,-0.064,0.15,0.286,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.758,0.845,0.002,0.051,0.018,0.003,0.013,0.069,0.053,0.103,-0.05,0.155,0.34,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.792,0.844,0.002,0.062,0.02,0.003,0.012,0.058,0.064,0.092,-0.028,0.156,0.409,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.825,0.831,0.001,0.076,0.025,0.002,0.011,0.053,0.077,0.092,-0.015,0.169,0.455,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.859,0.799,0.001,0.093,0.035,0.002,0.013,0.057,0.094,0.107,-0.012,0.201,0.469,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.893,0.771,0.001,0.112,0.044,0.002,0.016,0.053,0.114,0.115,-0.001,0.229,0.497,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.926,0.781,0.001,0.111,0.041,0.002,0.016,0.048,0.112,0.107,0.005,0.219,0.512,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.960,0.807,0.002,0.088,0.032,0.003,0.015,0.053,0.09,0.103,-0.013,0.193,0.466,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.993,0.801,0.002,0.079,0.033,0.004,0.018,0.063,0.081,0.118,-0.037,0.199,0.406,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.027,0.777,0.002,0.093,0.041,0.004,0.021,0.062,0.095,0.128,-0.034,0.223,0.425,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.061,0.777,0.002,0.107,0.044,0.003,0.018,0.049,0.109,0.114,-0.005,0.223,0.488,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.094,0.792,0.002,0.11,0.043,0.002,0.013,0.039,0.112,0.096,0.016,0.208,0.539,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.128,0.802,0.002,0.104,0.039,0.002,0.011,0.041,0.105,0.093,0.012,0.198,0.531,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.162,0.806,0.002,0.092,0.036,0.002,0.012,0.049,0.094,0.1,-0.006,0.194,0.484,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.195,0.78,0.002,0.099,0.042,0.003,0.018,0.056,0.101,0.118,-0.017,0.22,0.462,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.229,0.728,0.002,0.125,0.056,0.005,0.027,0.057,0.128,0.144,-0.016,0.272,0.47,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.262,0.705,0.002,0.138,0.063,0.005,0.031,0.055,0.141,0.154,-0.014,0.295,0.477,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.296,0.738,0.002,0.127,0.055,0.004,0.027,0.047,0.129,0.133,-0.005,0.262,0.491,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.330,0.795,0.002,0.104,0.04,0.003,0.018,0.038,0.106,0.099,0.007,0.205,0.516,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.363,0.841,0.002,0.082,0.029,0.002,0.012,0.033,0.084,0.075,0.009,0.159,0.528,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.397,0.866,0.002,0.069,0.023,0.001,0.008,0.032,0.07,0.064,0.006,0.134,0.523,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.431,0.864,0.002,0.069,0.023,0.001,0.007,0.034,0.071,0.065,0.006,0.136,0.523,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.464,0.832,0.003,0.089,0.031,0.001,0.007,0.038,0.092,0.077,0.015,0.168,0.544,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.498,0.794,0.003,0.115,0.039,0.002,0.009,0.038,0.118,0.088,0.03,0.206,0.572,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.531,0.792,0.003,0.117,0.039,0.002,0.009,0.038,0.12,0.088,0.032,0.208,0.577,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.565,0.823,0.003,0.091,0.031,0.002,0.008,0.043,0.093,0.084,0.009,0.177,0.527,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.599,0.851,0.003,0.066,0.024,0.002,0.007,0.047,0.068,0.08,-0.012,0.149,0.461,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.632,0.867,0.002,0.06,0.023,0.001,0.006,0.041,0.062,0.071,-0.009,0.133,0.467,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.666,0.871,0.001,0.066,0.024,0.001,0.006,0.031,0.067,0.062,0.006,0.129,0.522,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.699,0.858,0.001,0.072,0.026,0.001,0.008,0.033,0.074,0.068,0.005,0.142,0.518,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.733,0.846,0.001,0.061,0.023,0.002,0.011,0.056,0.062,0.092,-0.029,0.154,0.405,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.767,0.851,0.001,0.032,0.013,0.003,0.011,0.089,0.033,0.115,-0.082,0.149,0.222,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.800,0.861,0.001,0.01,0.005,0.003,0.01,0.11,0.011,0.129,-0.118,0.139,0.078,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.834,0.859,0.001,0.004,0.003,0.003,0.011,0.119,0.005,0.136,-0.131,0.141,0.035,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.868,0.853,0.001,0.004,0.003,0.003,0.012,0.124,0.005,0.142,-0.137,0.147,0.034,Extraneza
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.901,0.847,0.001,0.005,0.003,0.003,0.013,0.128,0.006,0.148,-0.142,0.153,0.037,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.935,0.838,0.001,0.006,0.004,0.003,0.013,0.134,0.007,0.154,-0.147,0.162,0.045,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.968,0.83,0.001,0.008,0.005,0.004,0.014,0.139,0.009,0.161,-0.152,0.17,0.051,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.002,0.833,0.001,0.007,0.004,0.004,0.014,0.137,0.008,0.159,-0.151,0.167,0.048,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.036,0.852,0.001,0.005,0.004,0.003,0.012,0.123,0.006,0.142,-0.136,0.148,0.042,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.069,0.872,0.001,0.004,0.003,0.003,0.009,0.109,0.005,0.123,-0.118,0.128,0.039,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.103,0.883,0.001,0.004,0.002,0.002,0.007,0.1,0.005,0.112,-0.108,0.117,0.042,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.137,0.888,0.001,0.005,0.003,0.002,0.008,0.092,0.006,0.106,-0.1,0.112,0.052,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.170,0.894,0.001,0.006,0.003,0.002,0.009,0.084,0.007,0.099,-0.092,0.106,0.063,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.204,0.898,0.001,0.007,0.004,0.002,0.01,0.078,0.008,0.094,-0.087,0.102,0.074,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.237,0.908,0.001,0.009,0.004,0.002,0.009,0.067,0.01,0.083,-0.073,0.092,0.105,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.271,0.922,0.001,0.014,0.004,0.002,0.007,0.051,0.015,0.063,-0.048,0.078,0.19,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.305,0.924,0.002,0.022,0.005,0.002,0.005,0.039,0.024,0.052,-0.028,0.076,0.314,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.338,0.911,0.005,0.028,0.007,0.004,0.008,0.039,0.033,0.056,-0.024,0.089,0.368,
"Q3: In which country did you grow up? ",0.19,0.22,0.192,00:00:12.372,0.883,0.016,0.025,0.006,0.007,0.013,0.049,0.041,0.075,-0.034,0.117,0.353,Agrado
