Questions,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.388,0.604,0.356,0.032,0.003,0.001,0.001,0.004,0.388,0.009,0.379,0.396,0.978,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.422,0.632,0.345,0.017,0.001,0.001,0.001,0.004,0.361,0.007,0.354,0.368,0.981,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.456,0.672,0.313,0.005,0,0.002,0.001,0.007,0.318,0.01,0.308,0.328,0.969,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.489,0.7,0.279,0.002,0,0.003,0.002,0.014,0.281,0.019,0.263,0.3,0.938,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.523,0.674,0.298,0.003,0,0.004,0.002,0.018,0.301,0.025,0.276,0.326,0.924,Alegria
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.556,0.603,0.37,0.005,0.001,0.003,0.002,0.017,0.374,0.023,0.352,0.397,0.943,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.590,0.541,0.439,0.005,0,0.002,0.001,0.012,0.443,0.015,0.428,0.459,0.967,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.624,0.52,0.465,0.005,0,0.001,0.001,0.008,0.47,0.01,0.46,0.48,0.98,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.657,0.545,0.443,0.006,0,0,0,0.006,0.448,0.007,0.441,0.455,0.985,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.691,0.598,0.39,0.006,0,0,0,0.004,0.396,0.005,0.391,0.402,0.987,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.724,0.656,0.335,0.005,0,0.001,0,0.003,0.34,0.004,0.336,0.344,0.989,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.758,0.683,0.311,0.003,0,0.001,0,0.002,0.314,0.003,0.311,0.317,0.99,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.792,0.66,0.335,0.002,0,0.001,0,0.002,0.337,0.003,0.334,0.34,0.991,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.825,0.634,0.36,0.003,0,0.001,0,0.002,0.362,0.004,0.358,0.366,0.989,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.859,0.626,0.366,0.004,0,0.001,0.001,0.003,0.37,0.004,0.366,0.374,0.988,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.893,0.6,0.392,0.005,0,0.001,0,0.002,0.397,0.004,0.393,0.4,0.991,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.926,0.571,0.419,0.007,0,0.001,0,0.002,0.426,0.003,0.423,0.429,0.993,Alegria
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.960,0.552,0.436,0.009,0,0,0,0.002,0.445,0.003,0.442,0.448,0.994,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.15,0.17,0.16,00:00:10.993,0.527,0.463,0.007,0,0,0,0.001,0.47,0.002,0.468,0.473,0.995,Regocijo
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.002,0.803,0.158,0.031,0.001,0.001,0.001,0.004,0.19,0.007,0.182,0.197,0.962,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.036,0.835,0.129,0.029,0.001,0.001,0.001,0.005,0.157,0.008,0.149,0.165,0.951,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.069,0.836,0.13,0.026,0.001,0.001,0.001,0.005,0.156,0.008,0.147,0.164,0.948,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.103,0.839,0.133,0.021,0.001,0.001,0.001,0.004,0.154,0.007,0.147,0.161,0.955,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.137,0.848,0.134,0.013,0.001,0,0.001,0.003,0.148,0.005,0.143,0.152,0.968,Regocijo
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.170,0.819,0.17,0.008,0,0,0,0.002,0.178,0.003,0.175,0.181,0.982,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.204,0.758,0.233,0.006,0,0,0,0.002,0.239,0.003,0.236,0.242,0.987,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.237,0.725,0.262,0.008,0,0.001,0,0.003,0.27,0.005,0.265,0.275,0.983,Regocijo
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.271,0.73,0.255,0.01,0.001,0.001,0.001,0.004,0.265,0.006,0.259,0.27,0.979,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.305,0.732,0.254,0.009,0.001,0.001,0.001,0.003,0.262,0.005,0.257,0.268,0.981,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.338,0.74,0.244,0.01,0.001,0.001,0.001,0.004,0.254,0.006,0.248,0.26,0.977,Regocijo
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.372,0.751,0.22,0.018,0.002,0.001,0.002,0.006,0.239,0.011,0.228,0.249,0.956,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.406,0.715,0.233,0.034,0.003,0.002,0.003,0.009,0.268,0.017,0.251,0.285,0.941,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.439,0.664,0.261,0.055,0.005,0.003,0.003,0.01,0.315,0.02,0.295,0.336,0.939,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.473,0.666,0.241,0.071,0.007,0.003,0.003,0.009,0.312,0.022,0.29,0.334,0.934,
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.506,0.713,0.192,0.074,0.006,0.003,0.003,0.009,0.266,0.021,0.245,0.287,0.926,
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.540,0.78,0.148,0.056,0.004,0.002,0.002,0.008,0.203,0.016,0.187,0.22,0.926,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.574,0.849,0.108,0.032,0.002,0.001,0.001,0.006,0.141,0.01,0.13,0.151,0.931,Dicha
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.607,0.864,0.093,0.034,0.002,0.001,0.001,0.005,0.127,0.009,0.117,0.136,0.933,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.641,0.823,0.106,0.06,0.003,0.001,0.002,0.007,0.165,0.012,0.153,0.177,0.932,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.674,0.788,0.122,0.075,0.003,0.001,0.002,0.008,0.198,0.014,0.184,0.212,0.934,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.708,0.781,0.14,0.066,0.003,0.001,0.001,0.007,0.206,0.013,0.193,0.219,0.941,
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.742,0.789,0.149,0.051,0.002,0.001,0.001,0.007,0.2,0.011,0.188,0.211,0.946,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.775,0.823,0.13,0.036,0.002,0.001,0.001,0.007,0.166,0.011,0.156,0.177,0.94,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.809,0.86,0.108,0.019,0.001,0.001,0.001,0.01,0.127,0.013,0.114,0.14,0.905,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.843,0.857,0.116,0.007,0,0.002,0.001,0.017,0.123,0.02,0.103,0.143,0.86,Regocijo
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.876,0.805,0.164,0.006,0.001,0.002,0.002,0.021,0.171,0.025,0.146,0.195,0.874,
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.910,0.736,0.23,0.009,0.001,0.003,0.003,0.019,0.239,0.026,0.213,0.264,0.902,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.943,0.723,0.239,0.01,0.001,0.005,0.004,0.017,0.249,0.028,0.221,0.277,0.9,
"Q3: In which country did you grow up? ",0.18,0.23,0.192,00:00:12.977,0.789,0.178,0.007,0.001,0.006,0.005,0.014,0.185,0.026,0.159,0.211,0.877,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.011,0.859,0.118,0.006,0.001,0.004,0.003,0.01,0.124,0.017,0.106,0.141,0.877,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.044,0.88,0.1,0.009,0.001,0.002,0.002,0.006,0.109,0.011,0.098,0.12,0.91,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.078,0.867,0.103,0.019,0.001,0.002,0.003,0.005,0.122,0.011,0.111,0.133,0.917,Dicha
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.112,0.846,0.108,0.033,0.002,0.002,0.004,0.005,0.141,0.012,0.129,0.154,0.919,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.145,0.822,0.116,0.051,0.002,0.002,0.003,0.005,0.167,0.011,0.156,0.178,0.936,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.179,0.813,0.114,0.063,0.003,0.001,0.002,0.005,0.177,0.01,0.167,0.187,0.946,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.212,0.841,0.094,0.055,0.002,0.001,0.002,0.006,0.148,0.011,0.137,0.159,0.932,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.246,0.872,0.073,0.042,0.002,0.001,0.002,0.007,0.115,0.013,0.103,0.128,0.9,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.280,0.885,0.068,0.034,0.002,0.001,0.002,0.007,0.102,0.013,0.089,0.115,0.887,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.313,0.887,0.081,0.023,0.001,0.001,0.002,0.006,0.103,0.01,0.094,0.113,0.914,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.347,0.878,0.104,0.013,0.001,0.001,0.001,0.003,0.117,0.005,0.111,0.122,0.955,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.381,0.857,0.129,0.01,0,0.001,0.001,0.003,0.139,0.004,0.134,0.143,0.969,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.414,0.821,0.163,0.009,0.001,0.001,0.001,0.005,0.171,0.008,0.164,0.179,0.957,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.448,0.789,0.19,0.008,0.001,0.002,0.001,0.009,0.199,0.013,0.186,0.211,0.939,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.481,0.79,0.183,0.008,0.001,0.001,0.001,0.015,0.192,0.018,0.174,0.21,0.915,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.515,0.807,0.163,0.009,0.001,0.001,0.001,0.019,0.171,0.021,0.15,0.193,0.889,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.549,0.8,0.168,0.009,0.001,0.001,0.001,0.02,0.177,0.022,0.155,0.2,0.887,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.582,0.78,0.189,0.009,0.001,0.001,0.001,0.019,0.198,0.022,0.177,0.22,0.902,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.616,0.767,0.203,0.009,0.001,0.002,0.002,0.016,0.212,0.02,0.192,0.233,0.912,Regocijo
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.650,0.748,0.222,0.01,0.001,0.003,0.003,0.013,0.232,0.02,0.212,0.252,0.92,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.683,0.725,0.244,0.011,0.001,0.003,0.004,0.012,0.256,0.02,0.236,0.275,0.928,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.717,0.742,0.231,0.011,0.001,0.003,0.003,0.01,0.242,0.016,0.226,0.258,0.937,Regocijo
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.750,0.788,0.19,0.011,0.001,0.002,0.002,0.006,0.201,0.011,0.19,0.212,0.949,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.784,0.79,0.181,0.021,0.001,0.001,0.001,0.005,0.202,0.008,0.194,0.21,0.961,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.818,0.762,0.198,0.031,0.001,0.001,0.001,0.005,0.229,0.009,0.22,0.238,0.964,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.851,0.777,0.182,0.029,0.001,0.001,0.001,0.007,0.212,0.011,0.2,0.223,0.95,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.885,0.824,0.141,0.021,0.001,0.002,0.002,0.009,0.162,0.014,0.148,0.176,0.922,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.918,0.868,0.104,0.015,0.001,0.002,0.002,0.009,0.119,0.013,0.105,0.132,0.899,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.952,0.899,0.081,0.009,0.001,0.001,0.002,0.007,0.09,0.011,0.079,0.101,0.893,
"Q3: In which country did you grow up? ",0.18,0.23,0.208,00:00:13.986,0.912,0.073,0.007,0.001,0.001,0.002,0.005,0.079,0.009,0.071,0.088,0.903,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.019,0.915,0.069,0.008,0.001,0.001,0.002,0.005,0.077,0.008,0.07,0.085,0.91,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.053,0.914,0.061,0.016,0.001,0.001,0.002,0.005,0.077,0.009,0.068,0.086,0.896,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.087,0.913,0.055,0.022,0.001,0.001,0.002,0.006,0.077,0.01,0.066,0.087,0.881,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.120,0.923,0.05,0.018,0.001,0.001,0.002,0.005,0.068,0.009,0.058,0.077,0.88,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.154,0.937,0.044,0.011,0.001,0.001,0.001,0.005,0.055,0.008,0.048,0.063,0.879,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.187,0.943,0.04,0.01,0.001,0.001,0.001,0.004,0.05,0.007,0.042,0.057,0.873,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.221,0.942,0.041,0.01,0.001,0.001,0.001,0.005,0.051,0.007,0.044,0.058,0.876,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.255,0.923,0.057,0.012,0.001,0.001,0.001,0.005,0.069,0.008,0.061,0.077,0.895,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.288,0.877,0.096,0.016,0.001,0.001,0.001,0.008,0.112,0.011,0.101,0.123,0.913,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.322,0.843,0.126,0.018,0.001,0.001,0.001,0.011,0.144,0.014,0.13,0.157,0.912,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.355,0.86,0.112,0.012,0.001,0.001,0.001,0.014,0.124,0.016,0.108,0.14,0.885,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.389,0.884,0.09,0.006,0,0.001,0.001,0.017,0.096,0.02,0.076,0.116,0.828,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.423,0.865,0.099,0.006,0.001,0.002,0.002,0.025,0.106,0.029,0.077,0.135,0.784,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.456,0.842,0.114,0.009,0.001,0.002,0.002,0.029,0.123,0.035,0.088,0.158,0.778,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.490,0.844,0.118,0.009,0.001,0.002,0.003,0.023,0.127,0.029,0.098,0.156,0.813,Regocijo
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.524,0.811,0.155,0.012,0.001,0.002,0.003,0.016,0.166,0.022,0.144,0.189,0.882,Agrado
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.557,0.733,0.226,0.019,0.002,0.003,0.004,0.015,0.245,0.023,0.222,0.267,0.915,Disfrute
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.591,0.687,0.263,0.025,0.002,0.003,0.004,0.015,0.288,0.025,0.264,0.313,0.922,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.624,0.704,0.24,0.032,0.003,0.003,0.005,0.014,0.272,0.025,0.247,0.296,0.916,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.658,0.76,0.185,0.033,0.003,0.003,0.005,0.012,0.218,0.022,0.195,0.24,0.907,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.692,0.844,0.119,0.022,0.002,0.002,0.003,0.008,0.141,0.015,0.125,0.156,0.902,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.725,0.914,0.068,0.009,0.001,0.001,0.002,0.006,0.076,0.009,0.067,0.086,0.89,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.759,0.939,0.048,0.004,0,0.001,0.002,0.005,0.052,0.009,0.044,0.061,0.856,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.793,0.939,0.047,0.004,0,0.001,0.002,0.006,0.051,0.01,0.041,0.061,0.837,
"Q3: In which country did you grow up? ",0.18,0.23,0.224,00:00:14.826,0.937,0.048,0.005,0,0.001,0.002,0.006,0.053,0.01,0.043,0.063,0.844,
