Question,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.4,0.876,0.076,0.014,0.002,0.003,0.015,0.014,0.09,0.034,0.056,0.124,0.725,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.4,0.861,0.092,0.016,0.002,0.003,0.013,0.012,0.108,0.03,0.078,0.139,0.781,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.5,0.845,0.112,0.019,0.002,0.002,0.01,0.011,0.131,0.025,0.106,0.155,0.841,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.6,0.836,0.119,0.023,0.002,0.002,0.008,0.009,0.142,0.022,0.12,0.164,0.867,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.6,0.833,0.117,0.028,0.003,0.002,0.009,0.009,0.145,0.023,0.122,0.167,0.865,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.7,0.822,0.124,0.029,0.003,0.002,0.01,0.011,0.153,0.025,0.129,0.178,0.861,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.8,0.816,0.134,0.024,0.003,0.002,0.009,0.014,0.158,0.027,0.131,0.184,0.856,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.8,0.836,0.124,0.013,0.001,0.002,0.006,0.018,0.137,0.027,0.109,0.164,0.833,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:14.9,0.847,0.123,0.005,0.001,0.001,0.004,0.019,0.128,0.025,0.103,0.153,0.835,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.224,00:15.0,0.797,0.181,0.002,0,0.001,0.003,0.015,0.184,0.019,0.165,0.203,0.906,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.0,0.74,0.244,0.002,0,0.001,0.003,0.01,0.247,0.014,0.233,0.26,0.947,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.1,0.727,0.257,0.003,0,0.001,0.003,0.009,0.26,0.013,0.247,0.273,0.952,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.2,0.677,0.305,0.003,0.001,0.001,0.003,0.01,0.309,0.015,0.294,0.323,0.955,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.2,0.523,0.46,0.003,0.001,0.001,0.003,0.009,0.463,0.014,0.449,0.477,0.971,Alegria
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.3,0.35,0.637,0.003,0.001,0.001,0.002,0.007,0.64,0.011,0.629,0.65,0.983,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.4,0.258,0.73,0.003,0.001,0.001,0.002,0.005,0.732,0.009,0.723,0.742,0.988,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.5,0.22,0.768,0.004,0.001,0.001,0.002,0.004,0.772,0.008,0.763,0.78,0.989,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.6,0.169,0.817,0.006,0.001,0.002,0.002,0.004,0.823,0.008,0.814,0.831,0.99,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.6,0.132,0.847,0.008,0.002,0.004,0.001,0.006,0.856,0.013,0.843,0.868,0.986,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.7,0.129,0.843,0.01,0.002,0.006,0.002,0.008,0.853,0.018,0.835,0.871,0.979,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.8,0.124,0.851,0.009,0.002,0.006,0.002,0.007,0.859,0.017,0.842,0.876,0.981,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.8,0.112,0.873,0.005,0.001,0.004,0.001,0.004,0.878,0.01,0.868,0.888,0.989,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:15.9,0.164,0.828,0.002,0,0.001,0.001,0.003,0.83,0.006,0.825,0.836,0.993,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.22,0.24,0.24,00:16.0,0.37,0.613,0.003,0.001,0.001,0.003,0.009,0.616,0.014,0.602,0.63,0.977,
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.0,0.826,0.09,0.032,0.007,0.003,0.014,0.027,0.122,0.051,0.071,0.174,0.704,
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.1,0.875,0.056,0.022,0.005,0.003,0.013,0.027,0.078,0.048,0.03,0.125,0.619,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.2,0.905,0.036,0.013,0.003,0.003,0.013,0.028,0.049,0.046,0.003,0.095,0.515,
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.2,0.89,0.055,0.01,0.002,0.002,0.015,0.025,0.065,0.045,0.019,0.11,0.587,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.3,0.869,0.079,0.009,0.002,0.003,0.016,0.022,0.088,0.043,0.045,0.131,0.672,Disfrute
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.4,0.856,0.099,0.008,0.002,0.003,0.013,0.019,0.106,0.037,0.069,0.144,0.74,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.4,0.827,0.135,0.007,0.002,0.003,0.01,0.016,0.142,0.031,0.111,0.173,0.823,
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.5,0.807,0.161,0.005,0.001,0.003,0.007,0.015,0.167,0.026,0.141,0.193,0.865,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.6,0.828,0.139,0.006,0.001,0.002,0.007,0.017,0.145,0.027,0.118,0.172,0.842,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.6,0.848,0.11,0.007,0.002,0.003,0.008,0.022,0.117,0.034,0.083,0.152,0.774,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.7,0.834,0.113,0.009,0.002,0.003,0.011,0.027,0.122,0.044,0.078,0.166,0.735,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.8,0.815,0.124,0.011,0.003,0.004,0.015,0.029,0.135,0.05,0.084,0.185,0.728,Disfrute
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.8,0.802,0.135,0.012,0.003,0.004,0.017,0.027,0.147,0.051,0.096,0.198,0.742,
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:17.9,0.781,0.152,0.013,0.003,0.004,0.016,0.031,0.165,0.054,0.111,0.219,0.754,
Q3: In which country did you grow up? ,0.26,0.29,0.272,00:18.0,0.778,0.14,0.011,0.002,0.004,0.014,0.05,0.151,0.071,0.08,0.222,0.681,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.1,0.814,0.092,0.006,0.001,0.005,0.012,0.07,0.098,0.088,0.01,0.186,0.526,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.2,0.844,0.075,0.003,0.001,0.004,0.008,0.065,0.078,0.078,0,0.156,0.499,Disfrute
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.2,0.825,0.124,0.003,0.001,0.003,0.005,0.041,0.127,0.049,0.078,0.175,0.722,Alegria
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.3,0.753,0.214,0.004,0.001,0.002,0.004,0.022,0.218,0.029,0.189,0.247,0.883,Disfrute
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.4,0.649,0.32,0.007,0.002,0.002,0.003,0.016,0.327,0.024,0.303,0.351,0.932,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.4,0.594,0.373,0.01,0.003,0.002,0.003,0.015,0.382,0.024,0.359,0.406,0.942,Regocijo
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.5,0.638,0.328,0.011,0.003,0.002,0.003,0.014,0.34,0.023,0.317,0.362,0.937,
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.6,0.706,0.262,0.012,0.002,0.002,0.003,0.013,0.273,0.021,0.253,0.294,0.93,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.6,0.748,0.219,0.012,0.002,0.002,0.003,0.013,0.231,0.021,0.21,0.252,0.917,Regocijo
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.7,0.774,0.191,0.013,0.003,0.003,0.003,0.013,0.204,0.022,0.182,0.226,0.903,Disfrute
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.8,0.762,0.203,0.015,0.003,0.002,0.003,0.012,0.218,0.02,0.198,0.238,0.915,Disfrute
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.8,0.733,0.237,0.014,0.002,0.002,0.003,0.009,0.25,0.016,0.234,0.267,0.939,Agrado
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:18.9,0.736,0.239,0.011,0.002,0.002,0.003,0.007,0.25,0.014,0.237,0.264,0.948,Disfrute
Q3: In which country did you grow up? ,0.26,0.29,0.288,00:19.0,0.761,0.215,0.01,0.002,0.002,0.003,0.007,0.226,0.013,0.212,0.239,0.944,Agrado
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.0,0.733,0.191,0.022,0.006,0.006,0.014,0.028,0.213,0.054,0.159,0.267,0.797,Disfrute
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.1,0.756,0.172,0.023,0.005,0.006,0.011,0.026,0.195,0.048,0.147,0.244,0.802,
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.2,0.774,0.16,0.025,0.004,0.005,0.008,0.023,0.186,0.04,0.146,0.226,0.823,
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.2,0.794,0.145,0.026,0.004,0.004,0.006,0.021,0.171,0.035,0.137,0.206,0.832,Agrado
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.3,0.831,0.106,0.027,0.003,0.004,0.008,0.02,0.133,0.035,0.098,0.169,0.79,
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.4,0.831,0.086,0.038,0.004,0.004,0.015,0.021,0.124,0.045,0.08,0.169,0.736,Agrado
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.4,0.788,0.103,0.051,0.007,0.005,0.02,0.025,0.155,0.058,0.097,0.212,0.729,Regocijo
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.5,0.761,0.129,0.05,0.009,0.006,0.018,0.028,0.179,0.061,0.118,0.239,0.747,Regocijo
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.6,0.719,0.187,0.043,0.009,0.006,0.011,0.026,0.229,0.052,0.177,0.281,0.816,Confianza
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.6,0.621,0.286,0.048,0.01,0.005,0.009,0.021,0.335,0.044,0.29,0.379,0.883,Regocijo
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.7,0.523,0.375,0.062,0.011,0.004,0.008,0.017,0.436,0.04,0.396,0.477,0.916,Regocijo
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.8,0.486,0.421,0.061,0.01,0.003,0.007,0.013,0.482,0.032,0.45,0.514,0.938,Alegria
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.8,0.487,0.452,0.04,0.006,0.002,0.004,0.009,0.491,0.021,0.47,0.513,0.959,Alegria
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:20.9,0.453,0.514,0.019,0.002,0.002,0.002,0.008,0.533,0.014,0.519,0.547,0.974,Regocijo
Q4: What area did you grow up in? A city? Countryside?,0.31,0.33,0.32,00:21.0,0.389,0.588,0.012,0.001,0.002,0.002,0.007,0.599,0.012,0.587,0.611,0.981,Alegria
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.0,0.005,0.995,0,0,0,0,0,0.995,0,0.995,0.995,1,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.1,0.005,0.994,0,0,0,0,0,0.994,0,0.994,0.995,1,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.2,0.004,0.995,0,0,0,0,0,0.995,0,0.995,0.996,1,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.2,0.003,0.997,0,0,0,0,0,0.997,0,0.997,0.997,1,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.3,0.002,0.998,0,0,0,0,0,0.998,0,0.998,0.998,1,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.4,0.003,0.996,0,0,0,0,0,0.997,0,0.996,0.997,1,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.4,0.006,0.992,0.001,0,0,0,0.001,0.993,0.001,0.992,0.994,0.999,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.5,0.009,0.989,0.001,0,0,0,0.001,0.99,0.001,0.989,0.991,0.999,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.6,0.007,0.991,0.001,0,0,0,0.001,0.992,0.001,0.991,0.993,0.999,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.6,0.004,0.994,0.001,0,0,0,0,0.995,0.001,0.995,0.996,0.999,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.7,0.004,0.994,0.001,0,0,0,0,0.995,0.001,0.995,0.996,0.999,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.8,0.004,0.993,0.002,0,0,0,0,0.995,0.001,0.994,0.996,0.999,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.8,0.004,0.993,0.002,0,0,0,0,0.995,0.001,0.994,0.996,0.999,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:24.9,0.006,0.992,0.002,0,0,0,0,0.993,0.001,0.992,0.994,0.999,Extasis
Q5: Are you familiar with the ideas of the conservative vs. liberal sides of the political spectrum?,0.37,0.39,0.384,00:25.0,0.007,0.99,0.001,0,0,0,0.001,0.992,0.001,0.991,0.993,0.999,Extasis
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.0,0.013,0.985,0,0,0,0,0.001,0.986,0.002,0.984,0.987,0.998,Extasis
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.1,0.016,0.981,0.001,0,0,0,0.001,0.982,0.002,0.98,0.984,0.998,Alegria
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.2,0.038,0.957,0.002,0,0.001,0,0.002,0.958,0.004,0.955,0.962,0.996,
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.3,0.152,0.826,0.006,0.001,0.002,0.002,0.011,0.832,0.016,0.816,0.848,0.982,Disfrute
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.4,0.393,0.555,0.012,0.002,0.004,0.004,0.03,0.567,0.041,0.526,0.607,0.933,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.4,0.627,0.288,0.017,0.003,0.008,0.008,0.049,0.305,0.069,0.236,0.373,0.816,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.5,0.724,0.166,0.022,0.005,0.011,0.013,0.058,0.188,0.088,0.101,0.276,0.682,Disfrute
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.6,0.721,0.154,0.03,0.007,0.013,0.018,0.057,0.183,0.096,0.088,0.279,0.657,
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.6,0.708,0.166,0.036,0.008,0.013,0.02,0.05,0.201,0.091,0.11,0.292,0.689,Disfrute
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.7,0.724,0.165,0.035,0.007,0.01,0.018,0.041,0.2,0.076,0.124,0.276,0.724,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.8,0.751,0.16,0.027,0.005,0.007,0.013,0.037,0.187,0.062,0.125,0.249,0.75,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.8,0.757,0.17,0.02,0.003,0.006,0.01,0.034,0.19,0.054,0.136,0.243,0.78,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:27.9,0.756,0.18,0.015,0.003,0.006,0.009,0.031,0.195,0.049,0.146,0.244,0.8,Disfrute
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.432,00:28.0,0.763,0.177,0.013,0.002,0.006,0.009,0.03,0.19,0.047,0.142,0.237,0.8,Disfrute
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.0,0.758,0.184,0.011,0.002,0.007,0.009,0.028,0.195,0.046,0.149,0.242,0.808,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.1,0.746,0.199,0.011,0.002,0.008,0.008,0.027,0.21,0.044,0.166,0.254,0.826,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.2,0.758,0.188,0.01,0.002,0.007,0.007,0.028,0.198,0.044,0.154,0.242,0.819,
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.2,0.803,0.145,0.007,0.001,0.005,0.005,0.033,0.152,0.045,0.108,0.197,0.773,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.3,0.839,0.112,0.004,0.001,0.004,0.004,0.035,0.117,0.044,0.073,0.161,0.727,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.4,0.84,0.114,0.003,0.001,0.004,0.003,0.035,0.117,0.043,0.074,0.16,0.732,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.4,0.82,0.13,0.005,0.001,0.004,0.004,0.036,0.135,0.045,0.09,0.18,0.749,Disfrute
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.5,0.792,0.15,0.009,0.002,0.005,0.007,0.036,0.159,0.049,0.11,0.208,0.764,Agrado
Q6: Could you briefly characterize what you feel each party represents? ,0.43,1.09,0.448,00:28.6,0.757,0.181,0.012,0.002,0.005,0.009,0.032,0.194,0.049,0.145,0.243,0.799,Alegria
