Question,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.246,0.786,0.195,0.003,0.001,0.001,0.004,0.01,0.198,0.016,0.182,0.214,0.924,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.280,0.804,0.174,0.004,0.001,0.001,0.005,0.011,0.178,0.018,0.16,0.196,0.908,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.313,0.814,0.16,0.006,0.002,0.001,0.005,0.012,0.166,0.02,0.147,0.186,0.894,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.347,0.834,0.139,0.007,0.002,0.001,0.005,0.012,0.146,0.02,0.126,0.166,0.88,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.381,0.817,0.158,0.007,0.002,0.001,0.005,0.011,0.165,0.019,0.146,0.183,0.898,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.414,0.785,0.192,0.005,0.002,0.001,0.004,0.01,0.197,0.018,0.18,0.215,0.918,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.448,0.763,0.215,0.004,0.002,0.001,0.004,0.01,0.22,0.017,0.202,0.237,0.927,Regocijo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.481,0.707,0.275,0.003,0.001,0.001,0.003,0.01,0.278,0.015,0.263,0.293,0.947,Alegria
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.515,0.621,0.364,0.002,0.001,0.001,0.003,0.009,0.366,0.013,0.353,0.379,0.966,Alegria
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.549,0.538,0.449,0.002,0.001,0.001,0.002,0.008,0.451,0.011,0.44,0.462,0.975,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.582,0.445,0.542,0.002,0.001,0.001,0.002,0.007,0.544,0.01,0.534,0.555,0.982,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.616,0.336,0.654,0.002,0,0.001,0.002,0.005,0.656,0.008,0.647,0.664,0.988,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.649,0.222,0.771,0.001,0,0,0.001,0.004,0.772,0.006,0.766,0.778,0.993,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.683,0.132,0.864,0.001,0,0,0,0.003,0.865,0.004,0.861,0.868,0.996,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.717,0.077,0.92,0,0,0,0,0.002,0.92,0.003,0.918,0.923,0.997,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.750,0.044,0.953,0,0,0,0,0.002,0.954,0.003,0.951,0.956,0.997,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.784,0.022,0.975,0,0,0.001,0,0.002,0.976,0.002,0.973,0.978,0.997,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.818,0.01,0.988,0,0,0,0,0.001,0.988,0.002,0.986,0.99,0.998,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.851,0.008,0.989,0.001,0,0,0,0.001,0.99,0.002,0.988,0.992,0.998,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.885,0.013,0.981,0.002,0.001,0,0,0.003,0.983,0.004,0.979,0.987,0.996,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.918,0.019,0.971,0.003,0.001,0,0,0.005,0.975,0.006,0.969,0.981,0.994,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.952,0.018,0.973,0.003,0.001,0,0,0.004,0.976,0.006,0.97,0.982,0.994,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.208,00:00:13.986,0.012,0.982,0.002,0,0,0,0.003,0.984,0.004,0.98,0.988,0.996,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.019,0.007,0.99,0.001,0,0,0,0.002,0.99,0.002,0.988,0.993,0.998,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.053,0.005,0.993,0.001,0,0,0,0.001,0.994,0.001,0.992,0.995,0.999,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.087,0.003,0.996,0,0,0,0,0.001,0.996,0.001,0.996,0.997,0.999,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.120,0.001,0.998,0,0,0,0,0,0.998,0,0.998,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.154,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.187,0,1,0,0,0,0,0,1,0,0.999,1,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.221,0,1,0,0,0,0,0,1,0,1,1,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.255,0,1,0,0,0,0,0,1,0,1,1,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.288,0,1,0,0,0,0,0,1,0,0.999,1,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.322,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.356,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.389,0.001,0.999,0,0,0,0,0,0.999,0,0.998,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.423,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.456,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.490,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.524,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.557,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.591,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.625,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.658,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.692,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.725,0.001,0.998,0,0,0,0,0,0.999,0,0.998,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.759,0.002,0.998,0,0,0,0,0,0.998,0,0.998,0.998,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.793,0.002,0.998,0,0,0,0,0,0.998,0,0.998,0.998,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.826,0.001,0.998,0,0,0,0,0,0.999,0,0.998,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.860,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.893,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.927,0.001,0.999,0,0,0,0,0,0.999,0,0.999,0.999,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.961,0.002,0.997,0,0,0,0,0,0.997,0,0.997,0.998,1,Extasis
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.20,0.23,0.224,00:00:14.994,0.005,0.995,0,0,0,0,0,0.995,0,0.995,0.995,1,Extasis
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.028,0.009,0.991,0,0,0,0,0,0.991,0,0.991,0.991,1,Extasis
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.062,0.016,0.983,0,0,0,0,0.001,0.983,0.001,0.983,0.984,0.999,Optimismo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.095,0.03,0.968,0,0,0,0,0.002,0.968,0.002,0.966,0.97,0.998,Optimismo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.129,0.058,0.936,0,0,0,0,0.004,0.937,0.005,0.931,0.942,0.994,Optimismo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.162,0.105,0.883,0.001,0.001,0.001,0.001,0.01,0.884,0.012,0.872,0.895,0.987,Optimismo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.196,0.149,0.833,0.001,0.001,0.001,0.001,0.014,0.835,0.017,0.818,0.851,0.98,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.230,0.191,0.789,0.001,0.001,0.001,0.001,0.015,0.79,0.018,0.772,0.809,0.977,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.263,0.281,0.697,0.002,0.001,0.002,0.002,0.015,0.699,0.02,0.678,0.719,0.972,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.297,0.402,0.569,0.003,0.001,0.002,0.003,0.02,0.572,0.026,0.546,0.598,0.956,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.331,0.484,0.479,0.004,0.002,0.003,0.003,0.026,0.483,0.033,0.45,0.516,0.936,Optimismo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.364,0.507,0.451,0.005,0.002,0.002,0.003,0.029,0.456,0.037,0.419,0.493,0.925,Agrado
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.398,0.496,0.463,0.004,0.002,0.002,0.004,0.029,0.468,0.036,0.431,0.504,0.928,
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.431,0.54,0.418,0.003,0.001,0.003,0.005,0.03,0.421,0.04,0.381,0.46,0.914,Agrado
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.465,0.683,0.266,0.002,0.001,0.005,0.007,0.037,0.268,0.05,0.218,0.317,0.844,Agrado
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.499,0.8,0.144,0.002,0.001,0.005,0.007,0.04,0.146,0.054,0.092,0.2,0.73,Agrado
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.532,0.814,0.133,0.004,0.002,0.004,0.006,0.037,0.137,0.049,0.088,0.186,0.737,Optimismo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.566,0.754,0.194,0.005,0.003,0.003,0.005,0.035,0.2,0.047,0.153,0.246,0.811,Anoranza
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.599,0.607,0.333,0.004,0.003,0.003,0.005,0.044,0.338,0.055,0.282,0.393,0.859,Intranquilidad
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.633,0.462,0.457,0.003,0.002,0.005,0.007,0.065,0.459,0.079,0.381,0.538,0.854,
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.667,0.483,0.4,0.002,0.002,0.007,0.013,0.094,0.402,0.115,0.288,0.517,0.778,Agrado
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.700,0.624,0.23,0.003,0.001,0.008,0.02,0.114,0.232,0.144,0.088,0.376,0.618,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.734,0.718,0.138,0.003,0.001,0.009,0.024,0.106,0.141,0.14,0.001,0.282,0.501,Disfrute
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.768,0.719,0.172,0.004,0.001,0.008,0.02,0.075,0.176,0.104,0.072,0.281,0.628,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.801,0.67,0.261,0.006,0.001,0.005,0.012,0.045,0.267,0.063,0.204,0.33,0.808,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.835,0.58,0.376,0.006,0.001,0.003,0.006,0.028,0.382,0.038,0.344,0.42,0.91,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.868,0.473,0.495,0.004,0.001,0.002,0.004,0.02,0.499,0.027,0.472,0.527,0.948,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.902,0.444,0.528,0.003,0.001,0.002,0.004,0.019,0.53,0.026,0.504,0.556,0.953,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.936,0.498,0.47,0.003,0.001,0.002,0.005,0.021,0.473,0.029,0.444,0.502,0.942,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.24,00:00:15.969,0.522,0.444,0.003,0.001,0.002,0.004,0.023,0.448,0.03,0.418,0.478,0.937,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.003,0.475,0.492,0.003,0.001,0.001,0.003,0.025,0.495,0.03,0.464,0.525,0.942,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.037,0.441,0.525,0.002,0.001,0.001,0.002,0.028,0.527,0.032,0.495,0.559,0.943,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.070,0.48,0.489,0.002,0.001,0.001,0.002,0.025,0.491,0.029,0.462,0.52,0.944,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.104,0.532,0.445,0.002,0.001,0.001,0.002,0.017,0.447,0.021,0.425,0.468,0.955,Intranquilidad
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.137,0.533,0.443,0.001,0.001,0.001,0.002,0.02,0.444,0.023,0.421,0.467,0.95,Disfrute
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.171,0.541,0.408,0.001,0.001,0.001,0.003,0.044,0.409,0.049,0.36,0.459,0.893,Optimismo
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.205,0.578,0.345,0.001,0.001,0.002,0.004,0.069,0.346,0.076,0.27,0.422,0.82,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.238,0.525,0.403,0.001,0.001,0.002,0.004,0.065,0.404,0.071,0.333,0.475,0.85,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.272,0.408,0.54,0.001,0.001,0.002,0.002,0.045,0.542,0.05,0.492,0.592,0.916,Disfrute
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.306,0.393,0.57,0.001,0.001,0.001,0.002,0.031,0.571,0.036,0.535,0.607,0.941,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.339,0.479,0.497,0.001,0.001,0.001,0.002,0.02,0.498,0.023,0.475,0.521,0.956,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.373,0.542,0.445,0.001,0,0.001,0.002,0.009,0.446,0.012,0.434,0.458,0.973,Disfrute
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.406,0.539,0.451,0.001,0,0.001,0.002,0.006,0.452,0.009,0.444,0.461,0.981,Disfrute
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.440,0.556,0.434,0.001,0,0.001,0.002,0.006,0.435,0.009,0.426,0.444,0.98,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.474,0.615,0.374,0.001,0.001,0.001,0.002,0.007,0.375,0.01,0.366,0.385,0.974,Alegria
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.507,0.582,0.406,0.002,0.001,0.001,0.001,0.007,0.408,0.01,0.398,0.418,0.976,Regocijo
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.541,0.456,0.533,0.002,0.001,0,0.001,0.006,0.536,0.009,0.527,0.544,0.984,Anoranza
"Q3: In which country did you grow up? ",0.24,0.28,0.256,00:00:16.574,0.406,0.576,0.003,0.001,0.001,0.001,0.012,0.579,0.015,0.564,0.594,0.975,Optimismo
