Question,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.463,0.953,0.012,0.02,0.005,0.002,0.004,0.004,0.031,0.015,0.016,0.047,0.672,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.497,0.967,0.015,0.009,0.002,0.001,0.003,0.002,0.024,0.009,0.015,0.033,0.728,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.531,0.943,0.031,0.012,0.004,0.001,0.005,0.004,0.042,0.014,0.028,0.057,0.747,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.564,0.898,0.053,0.022,0.009,0.002,0.01,0.006,0.075,0.027,0.048,0.102,0.738,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.598,0.867,0.071,0.028,0.012,0.003,0.012,0.007,0.099,0.033,0.066,0.133,0.748,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.631,0.872,0.077,0.023,0.01,0.002,0.01,0.006,0.1,0.028,0.073,0.128,0.784,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.665,0.901,0.068,0.015,0.005,0.002,0.005,0.004,0.083,0.016,0.067,0.099,0.835,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.699,0.904,0.063,0.021,0.004,0.001,0.004,0.003,0.084,0.012,0.072,0.096,0.874,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.732,0.861,0.086,0.038,0.006,0.001,0.004,0.003,0.124,0.014,0.11,0.139,0.896,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.766,0.842,0.105,0.039,0.005,0.001,0.004,0.003,0.144,0.014,0.131,0.158,0.914,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.799,0.884,0.08,0.025,0.004,0.001,0.003,0.003,0.105,0.011,0.094,0.116,0.906,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.833,0.923,0.041,0.02,0.007,0.001,0.004,0.004,0.061,0.016,0.046,0.077,0.797,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.867,0.931,0.025,0.023,0.009,0.002,0.005,0.005,0.048,0.021,0.027,0.069,0.691,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.900,0.943,0.023,0.017,0.006,0.002,0.005,0.004,0.039,0.018,0.022,0.057,0.689,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.934,0.943,0.032,0.011,0.003,0.002,0.006,0.003,0.043,0.014,0.029,0.057,0.752,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.112,00:00:07.968,0.903,0.057,0.02,0.005,0.003,0.009,0.004,0.076,0.021,0.056,0.097,0.788,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.001,0.856,0.084,0.031,0.008,0.004,0.013,0.006,0.114,0.03,0.085,0.144,0.794,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.035,0.843,0.092,0.031,0.008,0.004,0.014,0.007,0.123,0.034,0.089,0.157,0.783,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.068,0.868,0.076,0.024,0.006,0.005,0.014,0.008,0.1,0.032,0.068,0.132,0.757,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.102,0.906,0.055,0.016,0.004,0.004,0.01,0.006,0.071,0.024,0.047,0.094,0.749,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.136,0.922,0.051,0.012,0.002,0.002,0.006,0.004,0.063,0.015,0.048,0.078,0.81,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.169,0.923,0.053,0.011,0.002,0.002,0.005,0.004,0.065,0.012,0.052,0.077,0.841,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.203,0.934,0.04,0.011,0.002,0.002,0.007,0.005,0.051,0.015,0.036,0.066,0.773,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.237,0.941,0.028,0.011,0.002,0.003,0.01,0.005,0.039,0.02,0.02,0.059,0.665,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.270,0.928,0.031,0.016,0.003,0.003,0.013,0.006,0.047,0.025,0.022,0.072,0.654,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.304,0.921,0.034,0.019,0.004,0.003,0.013,0.006,0.053,0.025,0.028,0.079,0.677,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.337,0.931,0.032,0.017,0.004,0.002,0.01,0.005,0.048,0.021,0.027,0.069,0.694,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.371,0.944,0.028,0.012,0.002,0.002,0.007,0.004,0.04,0.015,0.025,0.056,0.722,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.405,0.948,0.029,0.01,0.001,0.001,0.006,0.004,0.039,0.012,0.027,0.052,0.759,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.438,0.926,0.042,0.014,0.003,0.002,0.008,0.004,0.056,0.018,0.038,0.074,0.76,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.472,0.881,0.063,0.026,0.008,0.003,0.013,0.006,0.089,0.03,0.059,0.119,0.748,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.506,0.841,0.075,0.043,0.013,0.003,0.017,0.008,0.118,0.041,0.077,0.159,0.741,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.539,0.83,0.075,0.05,0.015,0.004,0.018,0.009,0.125,0.045,0.08,0.17,0.735,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.573,0.839,0.077,0.042,0.011,0.004,0.018,0.009,0.119,0.042,0.077,0.161,0.738,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.606,0.851,0.083,0.028,0.007,0.004,0.017,0.009,0.112,0.037,0.075,0.149,0.75,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.640,0.862,0.081,0.022,0.005,0.004,0.017,0.008,0.103,0.035,0.069,0.138,0.748,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.674,0.876,0.07,0.022,0.005,0.004,0.016,0.008,0.092,0.033,0.059,0.124,0.736,Agrado
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.707,0.888,0.066,0.019,0.004,0.003,0.014,0.007,0.084,0.028,0.056,0.112,0.751,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.741,0.888,0.071,0.016,0.004,0.003,0.011,0.007,0.087,0.025,0.062,0.112,0.778,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.775,0.886,0.067,0.018,0.006,0.003,0.011,0.009,0.085,0.029,0.057,0.114,0.748,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.808,0.878,0.05,0.032,0.013,0.003,0.013,0.011,0.083,0.04,0.043,0.122,0.674,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.842,0.858,0.042,0.048,0.019,0.004,0.017,0.011,0.09,0.051,0.039,0.142,0.638,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.875,0.862,0.038,0.045,0.017,0.006,0.021,0.012,0.082,0.056,0.027,0.138,0.597,
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.909,0.887,0.022,0.025,0.01,0.01,0.029,0.017,0.048,0.065,-0.017,0.113,0.423,Infelicidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.943,0.884,0.008,0.011,0.004,0.016,0.052,0.024,0.02,0.097,-0.077,0.116,0.17,Infelicidad
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.11,0.13,0.128,00:00:08.976,0.846,0.005,0.009,0.003,0.02,0.084,0.032,0.015,0.139,-0.124,0.154,0.096,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.018,0.987,0.002,0.001,0,0.001,0.002,0.006,0.003,0.01,-0.007,0.013,0.235,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.052,0.985,0.003,0.002,0,0.001,0.003,0.007,0.004,0.011,-0.007,0.015,0.268,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.086,0.977,0.005,0.003,0.001,0.002,0.003,0.01,0.008,0.015,-0.007,0.023,0.343,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.119,0.97,0.007,0.006,0.001,0.002,0.003,0.011,0.013,0.017,-0.004,0.03,0.437,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.153,0.973,0.007,0.007,0.001,0.001,0.002,0.009,0.014,0.013,0,0.027,0.508,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.187,0.979,0.006,0.005,0.001,0.001,0.002,0.007,0.011,0.01,0,0.021,0.51,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.220,0.982,0.005,0.003,0.001,0.001,0.002,0.007,0.008,0.01,-0.002,0.018,0.444,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.254,0.981,0.005,0.003,0.001,0.001,0.002,0.007,0.008,0.011,-0.003,0.019,0.422,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.287,0.976,0.008,0.004,0.001,0.001,0.002,0.008,0.012,0.012,-0.001,0.024,0.482,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.321,0.954,0.022,0.006,0.002,0.001,0.003,0.012,0.028,0.019,0.009,0.046,0.599,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.355,0.912,0.053,0.009,0.003,0.002,0.005,0.017,0.062,0.026,0.036,0.088,0.701,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.388,0.881,0.079,0.011,0.004,0.002,0.006,0.017,0.09,0.028,0.062,0.119,0.76,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.422,0.9,0.068,0.01,0.003,0.002,0.005,0.014,0.078,0.023,0.055,0.1,0.773,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.456,0.943,0.034,0.008,0.001,0.001,0.003,0.009,0.042,0.015,0.027,0.057,0.74,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.489,0.962,0.015,0.011,0.001,0.001,0.003,0.006,0.026,0.011,0.015,0.038,0.7,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.523,0.954,0.015,0.014,0.002,0.002,0.006,0.008,0.029,0.017,0.011,0.046,0.623,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.556,0.944,0.019,0.011,0.002,0.003,0.008,0.014,0.03,0.026,0.004,0.056,0.535,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.590,0.943,0.026,0.006,0.001,0.003,0.006,0.015,0.032,0.026,0.006,0.057,0.552,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.624,0.944,0.031,0.005,0.001,0.002,0.003,0.013,0.036,0.02,0.016,0.056,0.644,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.657,0.951,0.03,0.004,0.001,0.002,0.002,0.011,0.034,0.016,0.018,0.049,0.685,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.691,0.963,0.021,0.003,0.001,0.001,0.002,0.01,0.023,0.014,0.01,0.037,0.632,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.724,0.971,0.012,0.002,0,0.002,0.002,0.011,0.013,0.016,-0.002,0.029,0.459,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.758,0.969,0.01,0.002,0,0.003,0.004,0.013,0.011,0.02,-0.008,0.031,0.367,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.792,0.97,0.011,0.002,0.001,0.002,0.003,0.012,0.012,0.018,-0.005,0.03,0.412,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.825,0.98,0.008,0.001,0,0.001,0.002,0.008,0.009,0.011,-0.002,0.02,0.453,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.859,0.987,0.005,0.001,0,0.001,0.001,0.005,0.006,0.007,-0.001,0.013,0.455,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.893,0.982,0.007,0.003,0,0.001,0.001,0.006,0.01,0.008,0.002,0.018,0.548,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.926,0.971,0.012,0.005,0.001,0.001,0.002,0.008,0.018,0.011,0.006,0.029,0.611,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.960,0.963,0.015,0.007,0.001,0.001,0.003,0.009,0.022,0.014,0.008,0.037,0.615,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.16,00:00:10.993,0.957,0.018,0.009,0.001,0.002,0.003,0.011,0.026,0.017,0.01,0.043,0.612,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.027,0.95,0.021,0.01,0.001,0.001,0.004,0.012,0.031,0.019,0.013,0.05,0.629,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.061,0.956,0.019,0.008,0.001,0.001,0.003,0.011,0.028,0.016,0.012,0.044,0.638,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.094,0.973,0.011,0.005,0.001,0.001,0.002,0.008,0.016,0.011,0.005,0.027,0.594,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.128,0.983,0.006,0.002,0,0.001,0.002,0.006,0.008,0.009,-0.001,0.017,0.484,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.162,0.984,0.006,0.002,0,0.001,0.001,0.006,0.008,0.008,-0.001,0.016,0.476,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.195,0.978,0.009,0.003,0,0.001,0.002,0.007,0.012,0.01,0.002,0.022,0.545,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.229,0.965,0.015,0.005,0.001,0.001,0.002,0.011,0.02,0.015,0.004,0.035,0.563,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.262,0.95,0.021,0.007,0.002,0.001,0.004,0.015,0.028,0.022,0.006,0.05,0.562,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.296,0.942,0.026,0.008,0.002,0.002,0.004,0.017,0.033,0.025,0.008,0.058,0.573,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.330,0.949,0.023,0.007,0.002,0.001,0.003,0.014,0.03,0.021,0.009,0.051,0.592,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.363,0.965,0.017,0.005,0.001,0.001,0.002,0.01,0.021,0.013,0.008,0.035,0.613,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.397,0.974,0.013,0.003,0,0.001,0.002,0.008,0.016,0.01,0.005,0.026,0.603,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.431,0.972,0.012,0.003,0.001,0.001,0.002,0.009,0.016,0.013,0.003,0.028,0.547,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.464,0.969,0.012,0.004,0.001,0.001,0.003,0.011,0.015,0.015,0,0.031,0.505,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.498,0.974,0.009,0.003,0.001,0.001,0.002,0.01,0.012,0.014,-0.001,0.026,0.475,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.531,0.974,0.008,0.004,0.001,0.001,0.003,0.01,0.012,0.014,-0.003,0.026,0.45,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.565,0.966,0.01,0.005,0.001,0.001,0.004,0.012,0.015,0.019,-0.004,0.034,0.448,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.599,0.963,0.011,0.005,0.001,0.002,0.005,0.012,0.017,0.02,-0.003,0.037,0.453,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.632,0.97,0.009,0.004,0.001,0.001,0.004,0.01,0.013,0.017,-0.004,0.03,0.44,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.666,0.97,0.012,0.002,0,0.001,0.003,0.011,0.015,0.016,-0.001,0.03,0.481,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.699,0.938,0.03,0.003,0.001,0.003,0.006,0.019,0.033,0.03,0.003,0.062,0.521,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.733,0.878,0.044,0.006,0.002,0.013,0.017,0.04,0.05,0.072,-0.022,0.122,0.411,Molestia
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.767,0.827,0.035,0.01,0.004,0.029,0.037,0.059,0.044,0.129,-0.084,0.173,0.257,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.800,0.815,0.017,0.011,0.004,0.039,0.059,0.055,0.028,0.157,-0.129,0.185,0.15,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.834,0.845,0.011,0.009,0.003,0.033,0.063,0.036,0.02,0.135,-0.115,0.155,0.128,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.868,0.885,0.015,0.006,0.001,0.021,0.045,0.027,0.021,0.094,-0.073,0.115,0.183,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.901,0.903,0.018,0.006,0.001,0.013,0.029,0.03,0.024,0.073,-0.049,0.097,0.246,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.935,0.904,0.015,0.006,0.002,0.009,0.024,0.039,0.021,0.074,-0.053,0.096,0.221,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant? ",0.16,0.18,0.176,00:00:11.968,0.911,0.009,0.005,0.002,0.007,0.02,0.045,0.015,0.074,-0.06,0.089,0.164,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.011,0.861,0.094,0.017,0.006,0.002,0.007,0.013,0.112,0.027,0.084,0.139,0.804,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.044,0.887,0.072,0.016,0.005,0.002,0.008,0.009,0.089,0.024,0.065,0.113,0.786,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.078,0.912,0.044,0.016,0.006,0.002,0.01,0.009,0.061,0.027,0.034,0.088,0.691,Agrado
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.112,0.905,0.045,0.021,0.008,0.002,0.009,0.01,0.066,0.029,0.036,0.095,0.692,Agrado
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.145,0.876,0.072,0.025,0.009,0.002,0.007,0.01,0.097,0.027,0.07,0.124,0.781,Agrado
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.179,0.837,0.116,0.023,0.007,0.002,0.006,0.009,0.139,0.024,0.116,0.163,0.855,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.212,0.812,0.148,0.018,0.005,0.002,0.005,0.009,0.166,0.022,0.144,0.188,0.884,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.246,0.822,0.139,0.017,0.005,0.002,0.005,0.01,0.156,0.022,0.134,0.178,0.876,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.280,0.853,0.102,0.023,0.007,0.002,0.005,0.01,0.124,0.023,0.101,0.147,0.842,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.313,0.881,0.069,0.026,0.008,0.001,0.004,0.01,0.095,0.024,0.071,0.119,0.799,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.347,0.911,0.046,0.022,0.006,0.001,0.004,0.01,0.068,0.021,0.047,0.089,0.762,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.381,0.946,0.027,0.012,0.003,0.001,0.003,0.008,0.039,0.015,0.023,0.054,0.715,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.414,0.966,0.015,0.007,0.001,0.001,0.002,0.007,0.022,0.012,0.01,0.034,0.656,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.448,0.963,0.018,0.007,0.001,0.001,0.003,0.007,0.025,0.012,0.013,0.037,0.671,
"Q3: In which country did you grow up? ",0.20,0.22,0.208,00:00:13.481,0.944,0.029,0.012,0.003,0.002,0.003,0.008,0.041,0.015,0.025,0.056,0.726,
