Question,start_t,end_t,rangeX,TimeStamp,Neutrality,Happy,Surprise,Fear,Disgust,Anger,Sadness,Positive_Sentiment,Negative_Sentiment,Experience,Activation,Emotional_Score,Subemotion
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.766,0.022,0.975,0.001,0,0,0,0.001,0.977,0.002,0.975,0.978,0.998,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.800,0.076,0.912,0.004,0.001,0,0.001,0.005,0.916,0.008,0.909,0.924,0.992,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.833,0.14,0.837,0.007,0.002,0.001,0.003,0.011,0.844,0.016,0.827,0.86,0.981,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.866,0.157,0.815,0.007,0.002,0.001,0.003,0.015,0.822,0.021,0.801,0.843,0.975,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.900,0.147,0.827,0.006,0.002,0.001,0.003,0.014,0.834,0.02,0.814,0.853,0.977,Optimismo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.933,0.163,0.812,0.006,0.002,0.001,0.003,0.011,0.819,0.018,0.801,0.837,0.979,Regocijo
"Q1: Are you comfortable having your responses recorded on video and by text? ",0.15,0.17,0.16,00:00:10.966,0.219,0.752,0.008,0.002,0.001,0.005,0.012,0.76,0.021,0.739,0.781,0.973,Alegria
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.000,0.709,0.218,0.012,0.004,0.005,0.007,0.045,0.23,0.061,0.169,0.291,0.79,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.033,0.753,0.154,0.014,0.005,0.007,0.01,0.057,0.168,0.079,0.089,0.247,0.679,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.066,0.798,0.095,0.016,0.006,0.009,0.013,0.063,0.111,0.091,0.021,0.202,0.551,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.100,0.829,0.067,0.017,0.006,0.009,0.014,0.059,0.084,0.087,-0.004,0.171,0.489,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.133,0.833,0.073,0.015,0.005,0.008,0.013,0.054,0.088,0.079,0.01,0.167,0.529,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.166,0.828,0.082,0.014,0.005,0.006,0.011,0.055,0.095,0.077,0.018,0.172,0.553,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.200,0.833,0.076,0.013,0.005,0.006,0.012,0.056,0.089,0.078,0.011,0.167,0.532,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.233,0.838,0.076,0.013,0.004,0.006,0.012,0.051,0.089,0.073,0.016,0.162,0.548,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.266,0.847,0.074,0.013,0.004,0.006,0.011,0.045,0.087,0.067,0.02,0.153,0.565,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.299,0.862,0.052,0.014,0.005,0.007,0.012,0.047,0.066,0.071,-0.005,0.138,0.483,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.333,0.874,0.032,0.015,0.005,0.008,0.013,0.053,0.048,0.078,-0.031,0.126,0.377,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.366,0.878,0.03,0.015,0.004,0.008,0.012,0.052,0.045,0.077,-0.032,0.122,0.37,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.400,0.878,0.034,0.016,0.004,0.008,0.012,0.048,0.049,0.072,-0.023,0.122,0.405,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.433,0.864,0.047,0.017,0.005,0.008,0.013,0.046,0.064,0.072,-0.007,0.136,0.473,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.466,0.828,0.087,0.015,0.004,0.007,0.014,0.045,0.102,0.07,0.033,0.172,0.595,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.500,0.805,0.12,0.01,0.002,0.005,0.014,0.044,0.13,0.065,0.065,0.195,0.665,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.533,0.825,0.104,0.006,0.001,0.004,0.014,0.046,0.11,0.065,0.045,0.175,0.628,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.566,0.846,0.077,0.005,0.001,0.004,0.013,0.054,0.082,0.072,0.01,0.154,0.532,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.600,0.834,0.083,0.005,0.001,0.003,0.012,0.062,0.088,0.078,0.01,0.166,0.53,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.633,0.816,0.099,0.005,0.001,0.002,0.01,0.066,0.104,0.079,0.025,0.184,0.568,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.666,0.81,0.104,0.005,0.001,0.002,0.009,0.069,0.109,0.081,0.028,0.19,0.574,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.700,0.793,0.127,0.004,0.001,0.001,0.008,0.065,0.131,0.076,0.055,0.207,0.634,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.733,0.753,0.183,0.003,0.001,0.002,0.006,0.052,0.186,0.061,0.125,0.247,0.754,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.766,0.727,0.22,0.003,0.001,0.003,0.006,0.04,0.223,0.05,0.173,0.273,0.817,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.799,0.746,0.202,0.003,0.001,0.004,0.006,0.038,0.205,0.049,0.156,0.254,0.806,Disfrute
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.833,0.772,0.175,0.004,0.001,0.005,0.007,0.037,0.179,0.049,0.13,0.228,0.785,Agrado
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.866,0.762,0.189,0.004,0.001,0.004,0.006,0.034,0.193,0.045,0.148,0.238,0.811,
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.900,0.743,0.201,0.005,0.001,0.003,0.006,0.041,0.206,0.051,0.154,0.257,0.8,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.933,0.711,0.212,0.005,0.002,0.004,0.007,0.06,0.217,0.072,0.145,0.289,0.751,Optimismo
"Q2: Do you consent to having your video analyzed by facial recognition programs, and snapshots to be used in publication if relevant?",0.23,0.24,0.24,00:00:15.966,0.563,0.354,0.004,0.002,0.004,0.006,0.066,0.358,0.079,0.279,0.437,0.82,Regocijo
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.000,0.512,0.401,0.005,0.004,0.005,0.012,0.062,0.406,0.082,0.323,0.488,0.831,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.033,0.601,0.274,0.007,0.006,0.005,0.016,0.091,0.281,0.119,0.162,0.399,0.703,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.066,0.655,0.171,0.009,0.008,0.006,0.02,0.13,0.181,0.164,0.017,0.345,0.524,Intranquilidad
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.100,0.669,0.127,0.011,0.01,0.006,0.022,0.155,0.137,0.193,-0.056,0.331,0.416,Intranquilidad
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.133,0.662,0.131,0.012,0.01,0.007,0.022,0.156,0.143,0.196,-0.053,0.338,0.422,Disfrute
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.166,0.652,0.151,0.014,0.01,0.008,0.022,0.141,0.165,0.183,-0.018,0.348,0.475,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.200,0.65,0.167,0.017,0.01,0.011,0.025,0.12,0.184,0.166,0.018,0.35,0.526,Intranquilidad
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.233,0.665,0.166,0.018,0.009,0.014,0.03,0.1,0.183,0.152,0.031,0.335,0.546,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.266,0.693,0.146,0.016,0.008,0.015,0.033,0.09,0.162,0.145,0.017,0.307,0.528,Disfrute
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.300,0.708,0.143,0.016,0.008,0.012,0.03,0.085,0.158,0.134,0.024,0.292,0.541,Regocijo
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.333,0.688,0.19,0.014,0.007,0.008,0.022,0.072,0.204,0.108,0.096,0.312,0.653,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.366,0.649,0.262,0.01,0.005,0.006,0.015,0.054,0.272,0.079,0.193,0.351,0.775,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.400,0.652,0.275,0.007,0.004,0.005,0.013,0.044,0.282,0.066,0.216,0.348,0.811,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.433,0.722,0.203,0.008,0.004,0.006,0.015,0.043,0.21,0.068,0.142,0.278,0.755,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.466,0.797,0.123,0.009,0.004,0.006,0.017,0.044,0.132,0.072,0.06,0.203,0.648,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.500,0.836,0.083,0.009,0.004,0.006,0.018,0.044,0.093,0.072,0.021,0.164,0.563,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.533,0.851,0.069,0.009,0.003,0.006,0.019,0.042,0.078,0.071,0.007,0.149,0.523,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.566,0.853,0.071,0.007,0.003,0.007,0.018,0.04,0.078,0.069,0.009,0.147,0.532,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.600,0.844,0.088,0.006,0.003,0.007,0.016,0.036,0.094,0.062,0.032,0.156,0.601,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.633,0.82,0.12,0.005,0.003,0.007,0.013,0.032,0.125,0.055,0.07,0.18,0.693,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.666,0.798,0.145,0.005,0.003,0.008,0.012,0.03,0.149,0.052,0.097,0.202,0.74,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.700,0.809,0.134,0.005,0.003,0.008,0.012,0.03,0.139,0.052,0.087,0.191,0.727,Regocijo
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.733,0.824,0.122,0.005,0.003,0.008,0.011,0.028,0.126,0.049,0.077,0.176,0.719,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.766,0.784,0.152,0.005,0.003,0.007,0.012,0.037,0.158,0.059,0.099,0.216,0.729,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.800,0.71,0.166,0.007,0.004,0.009,0.018,0.086,0.173,0.117,0.055,0.29,0.595,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.833,0.672,0.105,0.011,0.007,0.015,0.027,0.164,0.116,0.212,-0.096,0.328,0.353,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.866,0.681,0.038,0.014,0.01,0.02,0.03,0.207,0.052,0.267,-0.215,0.319,0.163,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.900,0.702,0.021,0.015,0.012,0.019,0.029,0.202,0.036,0.262,-0.226,0.298,0.12,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.933,0.724,0.025,0.012,0.011,0.016,0.031,0.182,0.037,0.239,-0.202,0.276,0.135,
"Q3: In which country did you grow up? ",0.26,0.36,0.272,00:00:17.966,0.739,0.027,0.01,0.009,0.015,0.041,0.158,0.037,0.224,-0.187,0.261,0.142,Infelicidad
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.000,0.732,0.033,0.013,0.01,0.017,0.064,0.13,0.046,0.222,-0.175,0.268,0.173,Infelicidad
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.033,0.698,0.047,0.02,0.014,0.02,0.095,0.105,0.067,0.234,-0.167,0.302,0.223,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.066,0.669,0.067,0.026,0.017,0.022,0.113,0.087,0.092,0.239,-0.146,0.331,0.279,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.100,0.679,0.095,0.023,0.015,0.02,0.096,0.072,0.119,0.202,-0.083,0.321,0.37,
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.133,0.729,0.117,0.015,0.01,0.015,0.056,0.057,0.133,0.138,-0.006,0.271,0.489,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.166,0.775,0.117,0.009,0.006,0.013,0.03,0.05,0.126,0.099,0.027,0.225,0.56,Disfrute
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.200,0.774,0.125,0.008,0.006,0.012,0.025,0.05,0.133,0.093,0.041,0.226,0.59,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.233,0.742,0.159,0.009,0.006,0.011,0.023,0.049,0.168,0.09,0.079,0.258,0.653,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.266,0.728,0.181,0.01,0.006,0.009,0.021,0.046,0.191,0.082,0.109,0.272,0.7,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.300,0.745,0.163,0.011,0.006,0.008,0.022,0.046,0.174,0.082,0.092,0.255,0.68,
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.333,0.77,0.126,0.013,0.007,0.01,0.026,0.05,0.138,0.092,0.046,0.23,0.6,Disfrute
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.366,0.783,0.103,0.014,0.007,0.01,0.029,0.054,0.117,0.1,0.017,0.217,0.539,
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.400,0.779,0.113,0.012,0.007,0.01,0.025,0.053,0.126,0.095,0.03,0.221,0.569,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.433,0.77,0.136,0.01,0.006,0.009,0.019,0.05,0.146,0.084,0.062,0.23,0.635,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.466,0.77,0.147,0.008,0.005,0.008,0.015,0.046,0.155,0.075,0.08,0.23,0.673,
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.500,0.778,0.142,0.007,0.005,0.008,0.014,0.045,0.149,0.073,0.077,0.222,0.673,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.533,0.792,0.125,0.006,0.005,0.009,0.015,0.048,0.131,0.077,0.054,0.208,0.629,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.566,0.807,0.104,0.006,0.005,0.009,0.018,0.051,0.11,0.083,0.027,0.193,0.57,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.600,0.809,0.099,0.006,0.006,0.009,0.02,0.051,0.105,0.085,0.02,0.191,0.552,
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.633,0.804,0.103,0.006,0.005,0.01,0.021,0.05,0.109,0.087,0.022,0.196,0.557,
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.666,0.805,0.102,0.005,0.005,0.011,0.021,0.05,0.108,0.088,0.02,0.195,0.551,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.700,0.812,0.097,0.005,0.004,0.012,0.02,0.049,0.103,0.085,0.017,0.188,0.546,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.733,0.817,0.097,0.005,0.004,0.011,0.019,0.047,0.102,0.081,0.02,0.183,0.555,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.766,0.811,0.105,0.005,0.004,0.011,0.019,0.045,0.11,0.08,0.03,0.189,0.579,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.800,0.796,0.12,0.005,0.004,0.011,0.019,0.043,0.126,0.078,0.048,0.204,0.618,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.833,0.783,0.139,0.006,0.004,0.011,0.016,0.042,0.145,0.073,0.072,0.217,0.666,Disfrute
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.866,0.778,0.149,0.006,0.004,0.01,0.014,0.04,0.155,0.067,0.088,0.222,0.697,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.900,0.773,0.158,0.006,0.004,0.009,0.013,0.038,0.164,0.063,0.1,0.227,0.721,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.933,0.761,0.173,0.006,0.004,0.008,0.012,0.036,0.179,0.06,0.118,0.239,0.748,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.288,00:00:18.966,0.759,0.173,0.006,0.004,0.007,0.013,0.036,0.179,0.061,0.118,0.241,0.746,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.000,0.774,0.151,0.008,0.005,0.008,0.014,0.041,0.159,0.067,0.092,0.226,0.703,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.033,0.789,0.129,0.009,0.005,0.008,0.014,0.046,0.138,0.073,0.064,0.211,0.652,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.066,0.789,0.121,0.01,0.006,0.009,0.014,0.052,0.13,0.081,0.05,0.211,0.618,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.100,0.779,0.121,0.01,0.007,0.01,0.016,0.057,0.132,0.089,0.043,0.221,0.597,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.133,0.774,0.122,0.011,0.007,0.01,0.017,0.059,0.132,0.093,0.039,0.226,0.586,
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.166,0.784,0.114,0.01,0.006,0.009,0.017,0.06,0.124,0.092,0.032,0.216,0.575,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.200,0.803,0.099,0.009,0.005,0.008,0.016,0.059,0.108,0.089,0.019,0.197,0.549,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.233,0.815,0.091,0.008,0.005,0.007,0.015,0.058,0.1,0.085,0.014,0.185,0.539,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.266,0.808,0.105,0.008,0.004,0.007,0.014,0.054,0.113,0.08,0.033,0.192,0.586,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.300,0.79,0.128,0.008,0.004,0.006,0.013,0.05,0.136,0.074,0.062,0.21,0.648,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.333,0.78,0.137,0.009,0.005,0.006,0.013,0.049,0.146,0.074,0.072,0.22,0.664,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.366,0.786,0.129,0.01,0.005,0.006,0.014,0.049,0.139,0.075,0.064,0.214,0.649,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.400,0.799,0.119,0.011,0.005,0.006,0.015,0.045,0.13,0.071,0.059,0.201,0.645,
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.433,0.812,0.112,0.012,0.005,0.006,0.015,0.039,0.124,0.064,0.059,0.188,0.657,
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.466,0.821,0.104,0.013,0.005,0.006,0.015,0.036,0.117,0.062,0.055,0.179,0.654,Disfrute
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.500,0.817,0.1,0.016,0.005,0.006,0.017,0.039,0.116,0.067,0.048,0.183,0.632,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.533,0.792,0.115,0.018,0.006,0.006,0.021,0.041,0.133,0.075,0.058,0.208,0.64,
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.566,0.762,0.135,0.02,0.007,0.007,0.027,0.042,0.155,0.083,0.071,0.238,0.649,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.600,0.752,0.13,0.022,0.008,0.009,0.034,0.044,0.152,0.096,0.056,0.248,0.614,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.633,0.764,0.114,0.022,0.009,0.01,0.036,0.046,0.136,0.1,0.036,0.236,0.576,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.666,0.777,0.109,0.021,0.008,0.009,0.032,0.044,0.13,0.092,0.038,0.223,0.585,
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.700,0.788,0.111,0.02,0.007,0.007,0.027,0.04,0.131,0.081,0.049,0.212,0.616,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.733,0.799,0.109,0.019,0.006,0.006,0.025,0.036,0.128,0.072,0.056,0.201,0.641,Agrado
"Q3: In which country did you grow up? ",0.26,0.36,0.304,00:00:19.766,0.807,0.108,0.019,0.005,0.005,0.023,0.032,0.127,0.066,0.061,0.193,0.657,Agrado
